StoryId,Year,Month,Period,Views Total,Views Member,Views Non-Member,Reads Total,Reads Member,Reads Non-Member,,,
597a6f6f7764,2023,2,2023-02,125,23,102,46,17,29,,,
59a7b21f1a95,2023,2,2023-02,0,0,0,0,0,0,,,
5a266ee948a9,2023,2,2023-02,20,11,9,8,5,3,,,
5a668c9e943e,2023,2,2023-02,27,6,21,7,2,5,,,
5b2950cb5211,2023,2,2023-02,15,6,9,8,2,6,,,
60fe1073a461,2023,2,2023-02,15,11,4,8,6,2,,,
6625670592a6,2023,2,2023-02,230,8,222,126,5,121,,,
72f8c124166b,2023,2,2023-02,27,11,16,14,5,9,,,
7437ff491837,2023,2,2023-02,8,3,5,6,2,4,,,
7af624109539,2023,2,2023-02,117,10,107,78,4,74,,,
84177cc2cafd,2023,2,2023-02,223,50,173,107,26,81,,,
89b41e58b206,2023,2,2023-02,10,0,10,3,0,3,,,
8b094203a306,2023,2,2023-02,5,2,3,5,2,3,,,
8feb51af9be8,2023,2,2023-02,45,18,27,31,14,17,,,
99338fc933cc,2023,2,2023-02,5,4,1,3,2,1,,,
b3e5b6d9743c,2023,2,2023-02,28,14,14,17,6,11,,,
b5df25113838,2023,2,2023-02,13,3,10,11,2,9,,,
b8507d45eef1,2023,2,2023-02,8,6,2,3,1,2,,,
bbb5afc30c79,2023,2,2023-02,3,1,2,0,0,0,,,
bc1a17c1248f,2023,2,2023-02,299,16,283,159,10,149,,,
bc1ea6ca3c6a,2023,2,2023-02,16,7,9,10,5,5,,,
bfaf81efc107,2023,2,2023-02,203,4,199,151,3,148,,,
c554bd8a6a19,2023,2,2023-02,47,22,25,25,11,14,,,
c969f9a26374,2023,2,2023-02,14,7,7,7,5,2,,,
ca00f0c75af7,2023,2,2023-02,4,1,3,3,1,2,,,
cb8d227aa93a,2023,2,2023-02,23,10,13,14,5,9,,,
d065c48d9192,2023,2,2023-02,3,0,3,2,0,2,,,
d0e44029e9c5,2023,2,2023-02,7,1,6,5,0,5,,,
d15dc615586f,2023,2,2023-02,8,6,2,3,2,1,,,
d61614458017,2023,2,2023-02,33,12,21,18,8,10,,,
dc4ef42135c2,2023,2,2023-02,2,1,1,1,1,0,,,
e0d9e883a559,2023,2,2023-02,556,56,500,292,35,257,,,
e39ca822908a,2023,2,2023-02,266,44,222,159,31,128,,,
ea420e1b49f7,2023,2,2023-02,6,0,6,0,0,0,,,
ee9197913392,2023,2,2023-02,0,0,0,0,0,0,,,
f1a69146228b,2023,2,2023-02,3,1,2,0,0,0,,,
f541efadcdae,2023,2,2023-02,6,3,3,1,0,1,,,
f6d4859a6d6d,2023,2,2023-02,5,2,3,2,1,1,,,
1098430b01a7,2023,3,2023-03,7,2,5,3,2,1,,,
17816a2fa9fc,2023,3,2023-03,79,5,74,31,3,28,,,
1796c062cddf,2023,3,2023-03,138,7,131,91,3,88,,,
18722f19f60a,2023,3,2023-03,22,114,-92,12,63,-51,,,
1b21e4cc6cc2,2023,3,2023-03,0,0,0,0,0,0,,,
1f9ed1b316f0,2023,3,2023-03,252,0,252,153,0,153,,,
1ff94afe7081,2023,3,2023-03,55,10,45,26,5,21,,,
207f804069e3,2023,3,2023-03,9,0,9,4,0,4,,,
20cad3195595,2023,3,2023-03,1200,60,1140,822,29,793,,,
23223b1cd512,2023,3,2023-03,4,2,2,3,1,2,,,
35b707dc4a33,2023,3,2023-03,24,5,19,8,1,7,,,
3c581b8f833d,2023,3,2023-03,0,0,0,0,0,0,,,
3c8cd4c2b821,2023,3,2023-03,15,1,14,13,1,12,,,
3fb649e1e310,2023,3,2023-03,499,7,492,272,4,268,,,
3fd1911b2b9e,2023,3,2023-03,88,11,77,44,6,38,,,
44c265a04fd1,2023,3,2023-03,5,1,4,2,1,1,,,
4758ad631fb4,2023,3,2023-03,50,27,23,24,13,11,,,
485f7e9ca45b,2023,3,2023-03,6,1,5,3,1,2,,,
4c5865c11ac7,2023,3,2023-03,206,31,175,91,14,77,,,
4cc3fd5064f0,2023,3,2023-03,301,57,244,193,30,163,,,
4d12cd266da5,2023,3,2023-03,55,2,53,29,1,28,,,
4d4d97afba83,2023,3,2023-03,490,87,403,278,59,219,,,
4d64bd75d78d,2023,3,2023-03,36,7,29,22,6,16,,,
4df3b89bec85,2023,3,2023-03,636,91,545,351,51,300,,,
4e8ba5a61e10,2023,3,2023-03,36,6,30,20,2,18,,,
5328a98e029e,2023,3,2023-03,195,6,189,129,4,125,,,
564bc425c1db,2023,3,2023-03,1,0,1,1,0,1,,,
593cf3eb62b6,2023,3,2023-03,52,13,39,27,5,22,,,
597a6f6f7764,2023,3,2023-03,118,17,101,46,9,37,,,
59a7b21f1a95,2023,3,2023-03,0,0,0,0,0,0,,,
5a266ee948a9,2023,3,2023-03,86,12,74,51,8,43,,,
5a668c9e943e,2023,3,2023-03,25,0,25,7,0,7,,,
5b2950cb5211,2023,3,2023-03,9,3,6,3,0,3,,,
60fe1073a461,2023,3,2023-03,12,6,6,6,2,4,,,
6625670592a6,2023,3,2023-03,276,11,265,173,9,164,,,
72f8c124166b,2023,3,2023-03,29,10,19,17,6,11,,,
7437ff491837,2023,3,2023-03,1,1,0,1,1,0,,,
7af624109539,2023,3,2023-03,150,5,145,97,5,92,,,
84177cc2cafd,2023,3,2023-03,86,17,69,45,11,34,,,
89b41e58b206,2023,3,2023-03,3,0,3,1,0,1,,,
8b094203a306,2023,3,2023-03,95,13,82,51,6,45,,,
8feb51af9be8,2023,3,2023-03,16,8,8,10,7,3,,,
9154e26fc5ff,2023,3,2023-03,19,8,11,6,2,4,,,
99338fc933cc,2023,3,2023-03,3,2,1,0,0,0,,,
9eca662f8f47,2023,3,2023-03,40,18,22,20,9,11,,,
b3e5b6d9743c,2023,3,2023-03,5,4,1,4,3,1,,,
b5df25113838,2023,3,2023-03,13,2,11,6,2,4,,,
b8507d45eef1,2023,3,2023-03,3,1,2,0,0,0,,,
bbb5afc30c79,2023,3,2023-03,6,1,5,2,1,1,,,
bc1a17c1248f,2023,3,2023-03,280,57,223,170,33,137,,,
bc1ea6ca3c6a,2023,3,2023-03,14,4,10,11,3,8,,,
bfaf81efc107,2023,3,2023-03,354,4,350,257,3,254,,,
c11dcc80c37f,2023,3,2023-03,147,80,67,76,45,31,,,
c554bd8a6a19,2023,3,2023-03,28,5,23,17,3,14,,,
c6a12cbaa038,2023,3,2023-03,448,280,168,292,212,80,,,
c969f9a26374,2023,3,2023-03,4,3,1,1,1,0,,,
ca00f0c75af7,2023,3,2023-03,2,1,1,1,0,1,,,
cb8d227aa93a,2023,3,2023-03,6,4,2,5,3,2,,,
d065c48d9192,2023,3,2023-03,3,0,3,0,0,0,,,
d0e44029e9c5,2023,3,2023-03,44,25,19,23,15,8,,,
d15dc615586f,2023,3,2023-03,18,5,13,6,2,4,,,
d61614458017,2023,3,2023-03,50,3,47,25,1,24,,,
dc4ef42135c2,2023,3,2023-03,1,0,1,0,0,0,,,
dd8352c4189f,2023,3,2023-03,29,5,24,19,1,18,,,
e0d9e883a559,2023,3,2023-03,237,49,188,126,37,89,,,
e39ca822908a,2023,3,2023-03,1000,29,971,545,22,523,,,
ea420e1b49f7,2023,3,2023-03,2,0,2,0,0,0,,,
ee9197913392,2023,3,2023-03,0,0,0,0,0,0,,,
f1a69146228b,2023,3,2023-03,12,4,8,6,1,5,,,
f541efadcdae,2023,3,2023-03,8,6,2,3,2,1,,,
f6d4859a6d6d,2023,3,2023-03,4,1,3,1,0,1,,,
1098430b01a7,2023,4,2023-04,20,12,8,10,7,3,,,
1120ee3cdccd,2023,4,2023-04,115,20,95,52,11,41,,,
17816a2fa9fc,2023,4,2023-04,73,6,67,35,2,33,,,
1796c062cddf,2023,4,2023-04,129,4,125,85,3,82,,,
18722f19f60a,2023,4,2023-04,478,95,383,262,55,207,,,
1b21e4cc6cc2,2023,4,2023-04,2,1,1,1,0,1,,,
1f9ed1b316f0,2023,4,2023-04,431,4,427,289,4,285,,,
1ff94afe7081,2023,4,2023-04,50,12,38,18,6,12,,,
207f804069e3,2023,4,2023-04,11,0,11,6,0,6,,,
20cad3195595,2023,4,2023-04,237,12,225,144,5,139,,,
23223b1cd512,2023,4,2023-04,4,2,2,1,0,1,,,
35b707dc4a33,2023,4,2023-04,6,2,4,3,1,2,,,
3c581b8f833d,2023,4,2023-04,3,2,1,1,1,0,,,
3c8cd4c2b821,2023,4,2023-04,9,2,7,6,0,6,,,
3fb649e1e310,2023,4,2023-04,282,6,276,155,3,152,,,
3fd1911b2b9e,2023,4,2023-04,45,1,44,28,0,28,,,
41985659b96e,2023,4,2023-04,180,18,162,75,9,66,,,
44c265a04fd1,2023,4,2023-04,1,0,1,1,0,1,,,
4758ad631fb4,2023,4,2023-04,69,11,58,41,5,36,,,
485f7e9ca45b,2023,4,2023-04,1,1,0,0,0,0,,,
48de733292b4,2023,4,2023-04,321,31,290,145,17,128,,,
4acf361e5b32,2023,4,2023-04,11,3,8,4,1,3,,,
4c5865c11ac7,2023,4,2023-04,802,54,748,329,29,300,,,
4cc3fd5064f0,2023,4,2023-04,423,31,392,309,20,289,,,
4d12cd266da5,2023,4,2023-04,42,2,40,21,2,19,,,
4d4d97afba83,2023,4,2023-04,101,22,79,49,14,35,,,
4d64bd75d78d,2023,4,2023-04,18,8,10,11,5,6,,,
4df3b89bec85,2023,4,2023-04,162,25,137,82,14,68,,,
4e8ba5a61e10,2023,4,2023-04,54,24,30,32,15,17,,,
512c9a72b8f7,2023,4,2023-04,143,5,138,46,3,43,,,
5328a98e029e,2023,4,2023-04,1200,21,1179,695,12,683,,,
564bc425c1db,2023,4,2023-04,1,0,1,0,0,0,,,
593cf3eb62b6,2023,4,2023-04,24,4,20,11,1,10,,,
597a6f6f7764,2023,4,2023-04,93,21,72,29,10,19,,,
59a7b21f1a95,2023,4,2023-04,0,0,0,0,0,0,,,
5a266ee948a9,2023,4,2023-04,35,9,26,19,6,13,,,
5a668c9e943e,2023,4,2023-04,23,4,19,9,3,6,,,
5b2950cb5211,2023,4,2023-04,13,7,6,12,6,6,,,
5eabb018f961,2023,4,2023-04,643,49,594,263,27,236,,,
60fe1073a461,2023,4,2023-04,14,10,4,10,8,2,,,
6625670592a6,2023,4,2023-04,211,3,208,122,0,122,,,
68174696a4d1,2023,4,2023-04,565,75,490,287,51,236,,,
6d5e95b71703,2023,4,2023-04,33,8,25,18,3,15,,,
72f8c124166b,2023,4,2023-04,36,22,14,27,15,12,,,
7437ff491837,2023,4,2023-04,13,8,5,2,1,1,,,
7af624109539,2023,4,2023-04,98,7,91,69,4,65,,,
84177cc2cafd,2023,4,2023-04,59,5,54,28,1,27,,,
89b41e58b206,2023,4,2023-04,1,0,1,0,0,0,,,
8b094203a306,2023,4,2023-04,14,4,10,7,1,6,,,
8feb51af9be8,2023,4,2023-04,549,21,528,307,6,301,,,
9154e26fc5ff,2023,4,2023-04,639,111,528,341,70,271,,,
99338fc933cc,2023,4,2023-04,419,21,398,171,11,160,,,
9eca662f8f47,2023,4,2023-04,22,3,19,11,1,10,,,
a6a7208fd3f4,2023,4,2023-04,29,7,22,18,5,13,,,
b3e5b6d9743c,2023,4,2023-04,3,2,1,1,0,1,,,
b45b29af5af0,2023,4,2023-04,426,37,389,215,17,198,,,
b592fd3fc0e1,2023,4,2023-04,266,40,226,123,23,100,,,
b5df25113838,2023,4,2023-04,7,0,7,3,0,3,,,
b8507d45eef1,2023,4,2023-04,343,14,329,159,7,152,,,
bbb5afc30c79,2023,4,2023-04,2,1,1,0,0,0,,,
bc1a17c1248f,2023,4,2023-04,171,18,153,110,12,98,,,
bc1ea6ca3c6a,2023,4,2023-04,5,1,4,2,0,2,,,
bfaf81efc107,2023,4,2023-04,330,2,328,217,2,215,,,
c11dcc80c37f,2023,4,2023-04,417,27,390,203,12,191,,,
c554bd8a6a19,2023,4,2023-04,13,1,12,8,1,7,,,
c6a12cbaa038,2023,4,2023-04,1600,1000,600,1000,717,283,,,
c969f9a26374,2023,4,2023-04,0,0,0,0,0,0,,,
ca00f0c75af7,2023,4,2023-04,11,0,11,5,0,5,,,
cb8d227aa93a,2023,4,2023-04,16,5,11,9,2,7,,,
ce1dd3176598,2023,4,2023-04,195,19,176,99,14,85,,,
d065c48d9192,2023,4,2023-04,4,1,3,1,0,1,,,
d0e44029e9c5,2023,4,2023-04,18,5,13,10,3,7,,,
d15dc615586f,2023,4,2023-04,39,6,33,26,6,20,,,
d61614458017,2023,4,2023-04,60,20,40,31,14,17,,,
dc4ef42135c2,2023,4,2023-04,0,0,0,0,0,0,,,
dd8352c4189f,2023,4,2023-04,228,7,221,116,6,110,,,
e0d9e883a559,2023,4,2023-04,204,41,163,93,27,66,,,
e14b05bdfa9d,2023,4,2023-04,145,13,132,81,7,74,,,
e39ca822908a,2023,4,2023-04,407,17,390,241,14,227,,,
e4fa684393ed,2023,4,2023-04,3,0,3,1,0,1,,,
ea420e1b49f7,2023,4,2023-04,4,4,0,1,1,0,,,
ee9197913392,2023,4,2023-04,0,0,0,0,0,0,,,
f1a69146228b,2023,4,2023-04,5,3,2,1,0,1,,,
f541efadcdae,2023,4,2023-04,1,0,1,1,0,1,,,
f6d4859a6d6d,2023,4,2023-04,0,0,0,0,0,0,,,
ffddb853467b,2023,4,2023-04,43,16,27,16,6,10,,,
1098430b01a7,2023,5,2023-05,6,6,0,2,2,0,,,
1120ee3cdccd,2023,5,2023-05,26,10,16,8,2,6,,,
17816a2fa9fc,2023,5,2023-05,43,1,42,24,1,23,,,
1796c062cddf,2023,5,2023-05,169,3,166,106,2,104,,,
18279b279ea5,2023,5,2023-05,16,4,12,7,3,4,,,
18722f19f60a,2023,5,2023-05,456,27,429,181,13,168,,,
1b21e4cc6cc2,2023,5,2023-05,1,0,1,1,0,1,,,
1be2864c1afa,2023,5,2023-05,71,25,46,28,11,17,,,
1d2173dd33e7,2023,5,2023-05,133,15,118,65,6,59,,,
1f9ed1b316f0,2023,5,2023-05,739,4,735,523,3,520,,,
1ff94afe7081,2023,5,2023-05,28,1,27,17,1,16,,,
207f804069e3,2023,5,2023-05,7,2,5,3,1,2,,,
20cad3195595,2023,5,2023-05,95,12,83,60,6,54,,,
23223b1cd512,2023,5,2023-05,0,0,0,0,0,0,,,
2847e90cf9ef,2023,5,2023-05,599,89,510,236,42,194,,,
35b707dc4a33,2023,5,2023-05,350,10,340,199,5,194,,,
361020d400c3,2023,5,2023-05,2,0,2,2,0,2,,,
3c581b8f833d,2023,5,2023-05,1,0,1,1,0,1,,,
3c8cd4c2b821,2023,5,2023-05,14,1,13,7,1,6,,,
3fb649e1e310,2023,5,2023-05,354,8,346,155,6,149,,,
3fd1911b2b9e,2023,5,2023-05,28,1,27,16,0,16,,,
41985659b96e,2023,5,2023-05,94,1,93,52,1,51,,,
44c265a04fd1,2023,5,2023-05,2,0,2,1,0,1,,,
45d5f933df3d,2023,5,2023-05,2,1,1,1,1,0,,,
4758ad631fb4,2023,5,2023-05,426,15,411,258,6,252,,,
485f7e9ca45b,2023,5,2023-05,3,1,2,1,0,1,,,
48de733292b4,2023,5,2023-05,73,11,62,32,6,26,,,
4acf361e5b32,2023,5,2023-05,102,3,99,49,2,47,,,
4c5865c11ac7,2023,5,2023-05,280,37,243,142,21,121,,,
4cc3fd5064f0,2023,5,2023-05,573,17,556,405,11,394,,,
4ce160106ee4,2023,5,2023-05,1,0,1,1,0,1,,,
4d12cd266da5,2023,5,2023-05,57,3,54,30,2,28,,,
4d4d97afba83,2023,5,2023-05,165,45,120,97,30,67,,,
4d64bd75d78d,2023,5,2023-05,12,7,5,7,2,5,,,
4df3b89bec85,2023,5,2023-05,195,39,156,103,26,77,,,
4e8ba5a61e10,2023,5,2023-05,23,0,23,15,0,15,,,
512c9a72b8f7,2023,5,2023-05,159,21,138,68,6,62,,,
5328a98e029e,2023,5,2023-05,298,8,290,153,4,149,,,
564bc425c1db,2023,5,2023-05,0,0,0,0,0,0,,,
593cf3eb62b6,2023,5,2023-05,21,3,18,11,0,11,,,
597a6f6f7764,2023,5,2023-05,74,18,56,38,10,28,,,
59a7b21f1a95,2023,5,2023-05,0,0,0,0,0,0,,,
5a266ee948a9,2023,5,2023-05,14,2,12,8,0,8,,,
5a668c9e943e,2023,5,2023-05,21,4,17,4,0,4,,,
5b2950cb5211,2023,5,2023-05,10,3,7,8,2,6,,,
5d5cbb041757,2023,5,2023-05,32,15,17,13,9,4,,,
5eabb018f961,2023,5,2023-05,65,7,58,17,4,13,,,
60fe1073a461,2023,5,2023-05,7,4,3,5,4,1,,,
638b391df4f1,2023,5,2023-05,528,32,496,299,22,277,,,
6625670592a6,2023,5,2023-05,216,1,215,121,1,120,,,
68174696a4d1,2023,5,2023-05,311,57,254,151,41,110,,,
6d5e95b71703,2023,5,2023-05,26,3,23,9,1,8,,,
72f8c124166b,2023,5,2023-05,21,11,10,14,7,7,,,
7437ff491837,2023,5,2023-05,0,0,0,0,0,0,,,
7455cd03a97c,2023,5,2023-05,0,0,0,0,0,0,,,
7af624109539,2023,5,2023-05,143,12,131,76,9,67,,,
827fc83aec7d,2023,5,2023-05,4,1,3,4,1,3,,,
82c5ffc6a8ac,2023,5,2023-05,14,4,10,7,2,5,,,
84177cc2cafd,2023,5,2023-05,75,2,73,35,2,33,,,
89b41e58b206,2023,5,2023-05,5,0,5,2,0,2,,,
8b094203a306,2023,5,2023-05,13,2,11,7,2,5,,,
8feb51af9be8,2023,5,2023-05,156,0,156,91,0,91,,,
9154e26fc5ff,2023,5,2023-05,203,94,109,111,54,57,,,
96d268e1365d,2023,5,2023-05,82,31,51,49,20,29,,,
98a54145d3e7,2023,5,2023-05,13,4,9,3,1,2,,,
99338fc933cc,2023,5,2023-05,32,19,13,16,12,4,,,
9eca662f8f47,2023,5,2023-05,10,3,7,6,2,4,,,
a6a7208fd3f4,2023,5,2023-05,164,24,140,86,14,72,,,
b3e5b6d9743c,2023,5,2023-05,3,3,0,1,1,0,,,
b45b29af5af0,2023,5,2023-05,56,13,43,28,11,17,,,
b592fd3fc0e1,2023,5,2023-05,67,22,45,24,9,15,,,
b5df25113838,2023,5,2023-05,1,0,1,1,0,1,,,
b7e0c83667c9,2023,5,2023-05,915,111,804,453,60,393,,,
b8507d45eef1,2023,5,2023-05,20,9,11,9,2,7,,,
b8fc7f696ae9,2023,5,2023-05,31,7,24,21,4,17,,,
ba90b894633f,2023,5,2023-05,738,69,669,456,48,408,,,
bbb5afc30c79,2023,5,2023-05,0,0,0,0,0,0,,,
bc1a17c1248f,2023,5,2023-05,317,15,302,192,9,183,,,
bc1ea6ca3c6a,2023,5,2023-05,3,1,2,3,1,2,,,
bfaf81efc107,2023,5,2023-05,389,6,383,289,6,283,,,
c11dcc80c37f,2023,5,2023-05,20,4,16,4,1,3,,,
c554bd8a6a19,2023,5,2023-05,6,0,6,2,0,2,,,
c6a12cbaa038,2023,5,2023-05,277,122,155,113,49,64,,,
c969f9a26374,2023,5,2023-05,0,0,0,0,0,0,,,
ca00f0c75af7,2023,5,2023-05,3,0,3,2,0,2,,,
cb8d227aa93a,2023,5,2023-05,2,1,1,1,1,0,,,
ce1dd3176598,2023,5,2023-05,101,17,84,50,11,39,,,
d065c48d9192,2023,5,2023-05,2,1,1,0,0,0,,,
d0e44029e9c5,2023,5,2023-05,16,1,15,4,0,4,,,
d15dc615586f,2023,5,2023-05,28,4,24,14,4,10,,,
d31016e176c7,2023,5,2023-05,25,6,19,15,3,12,,,
d61614458017,2023,5,2023-05,49,5,44,31,3,28,,,
dc4ef42135c2,2023,5,2023-05,1,1,0,0,0,0,,,
dd8352c4189f,2023,5,2023-05,113,5,108,56,3,53,,,
de661fb0ea88,2023,5,2023-05,95,30,65,42,17,25,,,
e0d9e883a559,2023,5,2023-05,109,25,84,50,11,39,,,
e14b05bdfa9d,2023,5,2023-05,18,2,16,7,0,7,,,
e39ca822908a,2023,5,2023-05,264,18,246,173,10,163,,,
e4fa684393ed,2023,5,2023-05,73,26,47,31,13,18,,,
e9a8b6a06ea2,2023,5,2023-05,6,3,3,5,3,2,,,
ea420e1b49f7,2023,5,2023-05,4,2,2,2,2,0,,,
ee9197913392,2023,5,2023-05,0,0,0,0,0,0,,,
f1a69146228b,2023,5,2023-05,4,3,1,3,2,1,,,
f34bc60aec7c,2023,5,2023-05,443,70,373,178,37,141,,,
f541efadcdae,2023,5,2023-05,4,4,0,2,2,0,,,
f6d4859a6d6d,2023,5,2023-05,5,1,4,4,1,3,,,
ffddb853467b,2023,5,2023-05,9,1,8,2,1,1,,,
1098430b01a7,2023,6,2023-06,6,5,1,4,3,1,,,
1120ee3cdccd,2023,6,2023-06,12,3,9,5,2,3,,,
16ec32e15f7b,2023,6,2023-06,275,37,238,101,15,86,,,
17816a2fa9fc,2023,6,2023-06,30,1,29,15,0,15,,,
1796c062cddf,2023,6,2023-06,148,2,146,101,1,100,,,
18279b279ea5,2023,6,2023-06,195,88,107,108,49,59,,,
18722f19f60a,2023,6,2023-06,379,13,366,181,8,173,,,
1b21e4cc6cc2,2023,6,2023-06,2,1,1,1,1,0,,,
1be2864c1afa,2023,6,2023-06,80,13,67,34,7,27,,,
1cbfeb653d25,2023,6,2023-06,69,8,61,38,5,33,,,
1d2173dd33e7,2023,6,2023-06,90,3,87,40,0,40,,,
1f9ed1b316f0,2023,6,2023-06,933,5,928,650,3,647,,,
1ff94afe7081,2023,6,2023-06,47,2,45,28,2,26,,,
207f804069e3,2023,6,2023-06,7,0,7,3,0,3,,,
20cad3195595,2023,6,2023-06,100,3,97,75,2,73,,,
23223b1cd512,2023,6,2023-06,4,1,3,1,1,0,,,
2847e90cf9ef,2023,6,2023-06,177,54,123,53,22,31,,,
347b3a32d5f2,2023,6,2023-06,18,12,6,7,5,2,,,
35b707dc4a33,2023,6,2023-06,32,4,28,9,2,7,,,
361020d400c3,2023,6,2023-06,15,1,14,9,1,8,,,
368b599ad751,2023,6,2023-06,61,14,47,25,7,18,,,
38bf549fd838,2023,6,2023-06,105,16,89,55,8,47,,,
3c581b8f833d,2023,6,2023-06,1,0,1,0,0,0,,,
